Variable,Model 1,β Model 1,Model 2,β Model 2,Model 3,β Model 3
Constant,-5.0379 (0.9050)***,,-16.8516 (4.6989)***,,-14.6567 (4.6265)**,
STEM researchers per 10k,0.0391 (0.0111)***,0.199,,,0.0427 (0.0102)***,0.220
Dist. to STEM uni (km),-0.0007 (0.0019),-0.040,,,-0.0013 (0.0018),-0.072
% university-educated adults,0.0454 (0.0196)*,0.158,,,0.0437 (0.0251)†,0.151
ln(Median wage),,,0.9712 (0.3978)*,0.154,0.8234 (0.3810)*,0.131
Nighttime radiance 2022,,,-0.0016 (0.0035),-0.038,-0.0041 (0.0034),-0.096
Advanced services (%),,,0.0212 (0.0121)†,0.098,-0.0076 (0.0142),-0.035
ln(Population),0.4041 (0.0724)***,0.463,0.4707 (0.0727)***,0.543,0.4233 (0.0733)***,0.488
Internet penetration (%),0.0001 (0.0079),0.001,0.0004 (0.0083),0.004,-0.0004 (0.0085),-0.004
N,223,,221,,221,
R²,0.4474,,0.3935,,0.4681,
Adj R²,0.4346,,0.3794,,0.4480,
